index,status,success,timestamp,numTrials,labname,uid
147,ready,1,2020-04-20 11:16:47.114667,1,laba04,user_22
149,ready,1,2020-04-20 11:18:04.063308,1,laba04s,user_22
151,ready,0,2020-04-20 14:51:39.981342,1,laba04,user_16
153,ready,0,2020-04-20 14:51:51.743369,2,laba04,user_16
155,ready,1,2020-04-20 15:12:20.441220,7,lab03,user_16
157,ready,0,2020-04-20 15:12:28.412441,1,lab03s,user_16
159,ready,0,2020-04-20 15:12:43.203903,3,laba04,user_16
161,ready,0,2020-04-20 15:12:44.159158,4,laba04,user_16
163,ready,0,2020-04-20 17:56:45.209722,1,lab02,user_0
165,ready,0,2020-04-20 17:56:58.195472,2,lab02,user_0
167,ready,0,2020-04-20 19:05:01.297780,1,laba04,user_19
169,ready,0,2020-04-20 19:08:04.239630,2,laba04,user_19
171,ready,0,2020-04-20 19:09:18.062777,3,laba04,user_19
173,ready,0,2020-04-20 19:10:44.104475,4,laba04,user_19
175,ready,0,2020-04-20 19:16:50.673054,1,laba04,user_25
177,ready,0,2020-04-20 19:27:14.419414,2,laba04,user_25
179,ready,0,2020-04-21 17:31:02.982192,5,laba04,user_19
181,ready,0,2020-04-21 17:48:00.487806,1,laba04,user_21
183,ready,0,2020-04-21 17:48:49.158627,2,laba04,user_21
185,ready,0,2020-04-21 17:50:12.879704,3,laba04,user_21
187,ready,0,2020-04-21 17:50:31.134381,4,laba04,user_21
189,ready,0,2020-04-21 18:01:26.041676,5,laba04,user_21
191,ready,0,2020-04-21 18:04:48.979607,6,laba04,user_19
193,ready,0,2020-04-21 18:04:59.154392,7,laba04,user_19
195,ready,0,2020-04-21 19:18:24.220338,6,laba04,user_21
197,ready,0,2020-04-21 20:41:03.416676,7,laba04,user_21
199,ready,0,2020-04-21 20:45:31.581556,8,laba04,user_21
201,ready,0,2020-04-21 20:54:29.251625,3,laba04,user_25
203,ready,0,2020-04-21 22:24:46.400387,8,laba04,user_19
205,ready,0,2020-04-22 12:36:24.053518,1,project1,user_30
207,ready,1,2020-04-22 13:28:02.071842,3,code_rvw,user_10
209,ready,0,2020-04-22 13:36:35.868433,1,laba04,user_24
211,ready,0,2020-04-22 18:45:44.816242,9,laba04,user_21
213,ready,0,2020-04-22 18:58:13.293509,10,laba04,user_21
215,ready,0,2020-04-22 19:04:06.973762,11,laba04,user_21
217,ready,0,2020-04-22 19:05:19.931833,12,laba04,user_21
219,ready,0,2020-04-22 19:29:51.555924,13,laba04,user_21
221,ready,0,2020-04-22 19:32:53.196741,14,laba04,user_21
223,ready,1,2020-04-22 19:37:25.644792,15,laba04,user_21
225,ready,0,2020-04-22 20:09:21.857747,1,laba04s,user_21
227,ready,0,2020-04-22 21:47:19.707242,1,laba04,user_28
229,ready,0,2020-04-22 21:49:18.721776,2,laba04,user_28
231,ready,0,2020-04-22 22:38:14.508953,2,laba04s,user_21
233,ready,0,2020-04-22 22:38:57.618762,3,laba04s,user_21
235,ready,1,2020-04-22 22:43:09.143595,4,laba04s,user_21
237,ready,1,2020-04-23 00:23:49.850904,1,laba04,user_31
239,ready,1,2020-04-23 00:24:06.344319,1,laba04s,user_31
241,ready,0,2020-04-23 07:58:29.645003,2,project1,user_30
243,ready,0,2020-04-23 08:06:24.837163,2,laba04,user_24
245,ready,1,2020-04-23 08:16:16.022737,3,laba04,user_24
247,ready,0,2020-04-23 11:38:52.929518,9,laba04,user_19
249,ready,0,2020-04-23 12:32:38.651745,10,laba04,user_19
251,ready,0,2020-04-23 12:57:30.801784,11,laba04,user_19
253,ready,0,2020-04-23 13:45:10.408891,12,laba04,user_19
255,ready,0,2020-04-23 13:45:53.055893,13,laba04,user_19
257,ready,0,2020-04-23 14:06:14.391324,14,laba04,user_19
259,ready,0,2020-04-23 14:24:29.947554,1,laba04,user_17
261,ready,0,2020-04-23 14:28:03.010976,2,laba04,user_17
263,ready,1,2020-04-23 20:29:14.054364,1,laba04,user_3
265,ready,1,2020-04-23 20:40:26.883591,1,laba04s,user_3
267,ready,0,2020-04-23 21:19:18.762240,12,project1,user_4
269,ready,1,2020-04-23 21:21:48.840706,13,project1,user_4
271,ready,1,2020-04-23 21:37:31.983764,14,project1,user_4
273,ready,1,2020-04-23 21:39:13.227013,15,project1,user_4
275,ready,1,2020-04-23 21:43:46.766820,16,project1,user_4
277,ready,1,2020-04-23 21:49:53.822020,17,project1,user_4
279,ready,1,2020-04-23 21:51:34.312338,18,project1,user_4
281,ready,1,2020-04-23 21:54:01.827205,19,project1,user_4
283,ready,1,2020-04-23 21:55:41.993531,20,project1,user_4
285,ready,1,2020-04-24 10:59:52.617063,21,project1,user_4
287,ready,0,2020-04-24 16:05:46.464083,15,laba04,user_19
289,ready,1,2020-04-24 17:18:39.716078,22,project1,user_4
291,ready,1,2020-04-24 17:20:24.447392,23,project1,user_4
293,ready,1,2020-04-24 17:22:21.822473,24,project1,user_4
295,ready,1,2020-04-24 17:23:39.861510,25,project1,user_4
297,ready,1,2020-04-24 17:25:28.583827,26,project1,user_4
299,ready,1,2020-04-24 22:27:14.314910,27,project1,user_4
301,ready,1,2020-04-25 03:53:05.181598,1,laba04s,user_24
303,ready,0,2020-04-25 07:38:38.986125,1,laba04,user_26
305,ready,0,2020-04-25 07:40:33.315557,2,laba04,user_26
307,ready,0,2020-04-25 07:40:45.603606,3,laba04,user_26
309,ready,0,2020-04-25 07:41:20.221687,4,laba04,user_26
311,ready,1,2020-04-25 07:42:03.240906,5,laba04,user_26
313,ready,1,2020-04-25 07:42:23.042287,1,laba04s,user_26
315,ready,1,2020-04-25 08:02:37.923584,6,laba04,user_26
317,ready,1,2020-04-25 08:02:55.719352,7,laba04,user_26
319,ready,1,2020-04-25 08:24:52.696624,1,laba04,user_10
321,ready,0,2020-04-25 08:37:54.604222,1,laba04s,user_10
323,ready,1,2020-04-25 08:39:50.663480,2,laba04s,user_10
325,ready,0,2020-04-25 09:38:32.704200,1,code_rvw,user_26
327,ready,1,2020-04-25 09:59:47.673686,5,code_rvw,user_15
329,ready,0,2020-04-25 11:32:27.662358,3,laba04,user_17
331,ready,0,2020-04-25 11:32:31.183708,4,laba04,user_17
333,ready,0,2020-04-25 11:54:13.749339,5,laba04,user_17
335,ready,0,2020-04-25 11:54:15.809577,6,laba04,user_17
337,ready,1,2020-04-25 12:08:11.894766,7,laba04,user_17
339,ready,0,2020-04-25 12:10:56.414175,1,laba04s,user_17
341,ready,1,2020-04-25 12:45:03.202092,2,laba04s,user_17
343,ready,1,2020-04-25 12:45:13.749125,3,laba04s,user_17
345,ready,1,2020-04-25 14:33:15.005790,16,code_rvw,user_8
347,ready,0,2020-04-25 14:47:45.912144,4,laba04,user_25
349,ready,0,2020-04-25 15:01:28.344327,5,laba04,user_25
351,ready,0,2020-04-25 15:27:37.217535,6,laba04,user_25
353,ready,0,2020-04-25 15:43:49.539223,16,laba04,user_19
355,ready,0,2020-04-25 15:46:21.922842,7,laba04,user_25
357,ready,0,2020-04-25 16:00:35.751879,8,laba04,user_25
359,ready,0,2020-04-25 16:01:00.827562,9,laba04,user_25
361,ready,0,2020-04-25 16:48:55.325505,3,laba04,user_28
363,ready,0,2020-04-25 17:01:45.297657,4,laba04,user_28
365,ready,0,2020-04-25 17:04:17.081681,5,laba04,user_28
367,ready,0,2020-04-25 17:05:31.796663,6,laba04,user_28
369,ready,0,2020-04-25 17:08:05.654958,7,laba04,user_28
371,ready,1,2020-04-25 17:09:24.647629,8,laba04,user_28
373,ready,0,2020-04-25 17:11:05.306157,17,laba04,user_19
375,ready,0,2020-04-25 17:36:09.601778,18,laba04,user_19
377,ready,0,2020-04-25 17:56:16.919886,1,laba04,user_13
379,ready,0,2020-04-25 18:01:33.901268,2,laba04,user_13
381,ready,0,2020-04-25 18:04:02.049026,3,laba04,user_13
383,ready,0,2020-04-25 18:36:36.032655,10,laba04,user_25
385,ready,1,2020-04-25 18:50:39.112848,11,laba04,user_25
387,ready,0,2020-04-25 19:01:32.113348,4,laba04,user_13
389,ready,1,2020-04-25 19:08:26.822432,5,laba04,user_13
391,ready,1,2020-04-25 20:28:58.436434,6,laba04,user_13
393,ready,0,2020-04-25 20:37:02.012808,19,laba04,user_19
395,ready,0,2020-04-25 20:50:03.338793,20,laba04,user_19
397,ready,0,2020-04-25 20:50:13.303580,21,laba04,user_19
399,ready,0,2020-04-25 20:58:42.407371,22,laba04,user_19
401,ready,0,2020-04-25 21:09:29.378441,23,laba04,user_19
403,ready,1,2020-04-25 21:30:32.668380,12,laba04,user_25
405,ready,1,2020-04-25 21:33:32.786711,13,laba04,user_25
407,ready,1,2020-04-25 21:39:43.315566,14,laba04,user_25
409,ready,0,2020-04-25 22:23:13.834512,1,laba04,user_20
411,ready,0,2020-04-25 22:24:33.562088,2,laba04,user_20
413,ready,0,2020-04-25 23:59:21.925422,1,laba04,user_6
415,ready,0,2020-04-26 00:01:15.712162,2,laba04,user_6
417,ready,1,2020-04-26 07:33:22.367075,7,laba04,user_13
419,ready,1,2020-04-26 08:51:33.227824,7,laba04s,user_8
421,ready,1,2020-04-26 08:55:26.789556,8,laba04s,user_8
423,ready,1,2020-04-26 08:57:17.507062,9,laba04s,user_8
429,ready,1,2020-04-26 10:01:11.093066,8,laba04,user_13
431,ready,1,2020-04-26 10:09:49.088018,3,code_rvw,user_3
433,ready,0,2020-04-26 10:19:07.614667,24,laba04,user_19
435,ready,0,2020-04-26 10:21:43.309470,25,laba04,user_19
437,ready,1,2020-04-26 10:37:29.107074,26,laba04,user_19
439,ready,1,2020-04-26 11:07:02.954583,27,laba04,user_19
441,ready,1,2020-04-26 11:19:11.384733,28,laba04,user_19
443,ready,1,2020-04-26 11:50:39.521485,29,laba04,user_19
445,ready,1,2020-04-26 11:53:15.419574,30,laba04,user_19
447,ready,1,2020-04-26 12:07:53.667761,31,laba04,user_19
449,ready,0,2020-04-26 12:08:08.601104,3,laba04,user_20
451,ready,1,2020-04-26 12:13:22.900213,4,laba04,user_20
453,ready,1,2020-04-26 12:17:05.222408,32,laba04,user_19
455,ready,1,2020-04-26 12:17:41.213336,33,laba04,user_19
457,ready,1,2020-04-26 12:18:08.276482,9,laba04,user_13
459,ready,1,2020-04-26 12:25:57.652148,34,laba04,user_19
461,ready,1,2020-04-26 13:30:41.557564,35,laba04,user_19
463,ready,1,2020-04-26 13:30:51.841196,36,laba04,user_19
465,ready,1,2020-04-26 13:57:50.306732,3,laba04,user_6
467,ready,0,2020-04-26 14:25:29.925508,1,laba04s,user_6
469,ready,0,2020-04-26 14:45:11.573270,2,laba04s,user_6
471,ready,1,2020-04-26 14:49:30.496115,3,laba04s,user_6
473,ready,1,2020-04-26 14:58:35.868987,37,laba04,user_19
475,ready,1,2020-04-26 15:10:10.127048,38,laba04,user_19
477,ready,1,2020-04-26 15:23:22.155086,39,laba04,user_19
479,ready,1,2020-04-26 15:25:36.062973,40,laba04,user_19
481,ready,1,2020-04-26 15:27:57.002201,41,laba04,user_19
483,ready,1,2020-04-26 15:29:14.874618,42,laba04,user_19
485,ready,0,2020-04-26 15:42:38.070593,1,laba04s,user_12
487,ready,1,2020-04-26 15:45:46.206821,10,laba04,user_13
489,ready,0,2020-04-26 15:53:44.906136,1,laba04s,user_28
491,ready,0,2020-04-26 16:05:15.432491,2,laba04s,user_28
493,ready,0,2020-04-26 16:05:20.794646,1,laba04s,user_20
495,ready,0,2020-04-26 16:06:54.042640,2,laba04s,user_20
497,ready,0,2020-04-26 16:08:01.533605,3,laba04s,user_20
499,ready,0,2020-04-26 16:08:21.576052,3,laba04s,user_28
501,ready,0,2020-04-26 16:10:58.952724,4,laba04s,user_28
503,ready,0,2020-04-26 16:13:14.081017,5,laba04s,user_28
505,ready,0,2020-04-26 16:14:14.347222,2,laba04s,user_12
507,ready,0,2020-04-26 16:26:34.019839,3,laba04s,user_12
509,ready,0,2020-04-26 16:29:04.966630,6,laba04s,user_28
511,ready,1,2020-04-26 16:31:08.074997,11,laba04,user_13
513,ready,0,2020-04-26 16:32:11.261765,7,laba04s,user_28
515,ready,0,2020-04-26 16:34:46.984498,8,laba04s,user_28
517,ready,0,2020-04-26 16:54:08.875596,4,laba04s,user_20
519,ready,0,2020-04-26 17:06:18.462708,1,laba04,user_1
521,ready,0,2020-04-26 17:06:58.614501,2,laba04,user_1
523,ready,0,2020-04-26 17:10:05.942923,3,laba04,user_1
525,ready,1,2020-04-26 17:11:01.287640,4,laba04,user_1
527,ready,1,2020-04-26 17:12:11.843671,1,laba04s,user_1
529,ready,1,2020-04-26 17:12:28.684452,8,code_rvw,user_4
531,ready,0,2020-04-26 17:18:27.417920,4,laba04s,user_12
533,ready,0,2020-04-26 17:30:00.933154,5,laba04s,user_12
535,ready,1,2020-04-26 17:35:44.363862,12,laba04,user_13
537,ready,1,2020-04-26 18:04:27.204349,16,code_rvw,user_14
539,ready,0,2020-04-26 18:12:15.591116,1,laba04s,user_27
541,ready,0,2020-04-26 18:13:10.314490,2,laba04s,user_27
543,ready,1,2020-04-26 18:30:33.348278,2,code_rvw,user_21
545,ready,1,2020-04-26 18:32:54.790147,3,code_rvw,user_21
547,ready,1,2020-04-26 18:34:52.325125,4,code_rvw,user_21
549,ready,1,2020-04-26 18:49:01.194376,13,laba04,user_13
551,ready,1,2020-04-26 18:49:15.405920,4,code_rvw,user_29
553,ready,1,2020-04-26 18:50:21.599061,5,code_rvw,user_28
555,ready,1,2020-04-26 18:51:46.239135,5,code_rvw,user_29
557,ready,1,2020-04-26 18:55:57.077192,6,code_rvw,user_28
559,ready,1,2020-04-26 18:56:06.275849,2,code_rvw,user_25
561,ready,1,2020-04-26 18:56:41.953701,6,code_rvw,user_29
563,ready,1,2020-04-26 18:59:32.871161,7,code_rvw,user_29
565,ready,1,2020-04-26 19:00:49.609102,3,code_rvw,user_25
567,ready,1,2020-04-26 19:01:26.502785,8,code_rvw,user_29
569,ready,1,2020-04-26 19:03:17.915930,7,code_rvw,user_28
571,ready,1,2020-04-26 19:06:58.949373,2,code_rvw,user_1
573,ready,1,2020-04-26 19:07:19.675139,3,code_rvw,user_1
575,ready,1,2020-04-26 19:09:05.732923,4,code_rvw,user_1
577,ready,1,2020-04-26 19:09:12.092320,4,code_rvw,user_25
579,ready,1,2020-04-26 19:11:53.702975,5,code_rvw,user_1
581,ready,1,2020-04-26 19:13:23.663589,5,code_rvw,user_21
583,ready,0,2020-04-26 19:14:12.634664,6,laba04s,user_12
585,ready,1,2020-04-26 19:18:19.755934,6,code_rvw,user_1
587,ready,0,2020-04-26 19:20:42.723722,5,laba04s,user_20
589,ready,0,2020-04-26 19:26:04.565046,3,laba04s,user_27
591,ready,0,2020-04-26 19:28:08.123886,4,laba04s,user_27
593,ready,1,2020-04-26 19:33:25.233597,14,laba04,user_13
595,ready,1,2020-04-26 19:36:11.372993,5,code_rvw,user_25
597,ready,1,2020-04-26 19:42:08.218431,8,code_rvw,user_28
599,ready,1,2020-04-26 19:48:11.822365,1,laba04,user_18
601,ready,1,2020-04-26 19:49:05.115966,43,laba04,user_19
603,ready,1,2020-04-26 19:50:04.830718,7,code_rvw,user_1
605,ready,1,2020-04-26 19:55:46.884638,2,code_rvw,user_20
607,ready,1,2020-04-26 19:57:16.630976,6,code_rvw,user_25
609,ready,1,2020-04-26 19:58:03.742435,44,laba04,user_19
613,ready,1,2020-04-26 19:59:13.384793,7,code_rvw,user_25
615,ready,1,2020-04-26 20:00:14.492032,8,code_rvw,user_25
617,ready,0,2020-04-26 20:03:10.912081,5,laba04s,user_27
619,ready,0,2020-04-26 20:03:56.935458,1,laba04s,user_18
621,ready,1,2020-04-26 20:05:51.704679,2,laba04s,user_18
623,ready,1,2020-04-26 20:10:36.585309,9,code_rvw,user_25
625,ready,1,2020-04-26 20:11:05.846723,10,code_rvw,user_25
627,ready,1,2020-04-26 20:14:43.971754,11,code_rvw,user_25
629,ready,1,2020-04-26 20:16:52.796653,45,laba04,user_19
631,ready,1,2020-04-26 20:19:50.788005,12,code_rvw,user_25
633,ready,1,2020-04-26 20:20:08.748707,8,code_rvw,user_1
635,ready,0,2020-04-26 20:20:37.147886,1,laba04,user_15
637,ready,0,2020-04-26 20:21:04.904685,2,laba04,user_15
639,ready,0,2020-04-26 20:21:32.942996,3,laba04,user_15
641,ready,1,2020-04-26 20:24:49.800040,6,laba04s,user_20
643,ready,1,2020-04-26 20:25:13.000406,4,laba04,user_15
645,ready,1,2020-04-26 20:25:21.097330,5,laba04,user_15
647,ready,1,2020-04-26 20:25:35.508207,6,laba04,user_15
649,ready,1,2020-04-26 20:25:45.113543,5,laba04,user_16
651,ready,1,2020-04-26 20:25:55.176286,6,laba04,user_16
653,ready,1,2020-04-26 20:26:22.709701,7,laba04,user_16
655,ready,1,2020-04-26 20:26:26.387252,8,laba04,user_16
657,ready,1,2020-04-26 20:28:47.600482,9,code_rvw,user_28
659,ready,0,2020-04-26 20:38:24.173422,6,laba04s,user_27
661,ready,1,2020-04-26 20:47:54.981197,7,laba04s,user_27
663,ready,1,2020-04-26 20:52:12.782699,8,laba04s,user_27
665,ready,1,2020-04-26 20:58:32.126575,9,laba04,user_16
667,ready,1,2020-04-26 21:02:45.408135,7,laba04s,user_20
669,ready,0,2020-04-26 21:07:56.952117,1,laba04s,user_25
671,ready,0,2020-04-26 21:14:41.246557,2,laba04s,user_25
673,ready,0,2020-04-26 21:17:43.408590,3,laba04s,user_25
675,ready,0,2020-04-26 21:18:09.722604,4,laba04s,user_25
677,ready,0,2020-04-26 21:21:04.648854,5,laba04s,user_25
679,ready,0,2020-04-26 21:24:33.834534,6,laba04s,user_25
681,ready,0,2020-04-26 21:27:14.798060,7,laba04s,user_25
683,ready,1,2020-04-26 21:47:01.391071,9,laba04s,user_27
685,ready,1,2020-04-26 21:47:14.819957,1,laba04,user_27
687,ready,1,2020-04-26 22:19:59.143064,15,laba04,user_13
689,ready,0,2020-04-26 22:21:04.093297,1,laba04s,user_13
691,ready,0,2020-04-26 22:22:59.663100,2,laba04s,user_13
693,ready,0,2020-04-26 23:02:08.638967,3,laba04s,user_13
695,ready,0,2020-04-27 03:45:20.301858,7,laba04s,user_12
697,ready,1,2020-04-27 08:29:08.135926,8,laba04s,user_20
699,ready,1,2020-04-27 21:06:34.734565,8,laba04s,user_25
701,ready,1,2020-04-28 11:15:32.037489,9,laba04s,user_28
703,ready,1,2020-04-28 11:41:53.997581,10,laba04s,user_28
705,ready,1,2020-04-28 16:53:45.762540,1,laba05,user_22
707,ready,0,2020-04-29 20:24:43.942138,1,laba05,user_4
709,ready,0,2020-04-29 20:26:37.401628,2,laba05,user_4
711,ready,1,2020-04-29 20:28:54.644959,9,laba04s,user_20
713,ready,0,2020-04-29 20:35:59.135874,3,laba05,user_4
715,ready,0,2020-04-29 20:39:51.827555,4,laba05,user_4
717,ready,1,2020-04-29 20:42:34.113013,5,laba05,user_4
719,ready,1,2020-04-29 22:29:56.850616,10,laba04s,user_20
721,ready,1,2020-04-29 22:56:13.162286,11,laba04s,user_20
723,ready,1,2020-04-29 22:56:41.546313,12,laba04s,user_20
725,ready,1,2020-04-30 05:13:24.357270,13,laba04s,user_20
727,ready,1,2020-04-30 07:42:15.227056,14,laba04s,user_20
729,ready,0,2020-04-30 10:04:34.388844,2,code_rvw,user_26
731,ready,0,2020-04-30 10:07:07.184324,3,code_rvw,user_26
733,ready,1,2020-04-30 10:09:58.118911,4,code_rvw,user_26
735,ready,1,2020-04-30 10:11:46.173351,5,code_rvw,user_26
737,ready,1,2020-04-30 11:33:04.523118,1,laba05,user_14
739,ready,1,2020-04-30 15:41:07.070961,15,laba04s,user_20
741,ready,1,2020-04-30 15:42:15.245806,16,laba04s,user_20
743,ready,1,2020-04-30 18:03:56.938278,4,code_rvw,user_10
745,ready,0,2020-04-30 18:05:56.025588,1,laba05,user_26
747,ready,1,2020-04-30 18:21:30.618309,2,laba05,user_26
749,ready,1,2020-04-30 18:44:07.162108,3,laba05,user_26
751,ready,1,2020-04-30 18:44:16.457268,4,laba05,user_26
753,ready,1,2020-04-30 18:44:42.069896,5,laba05,user_26
755,ready,0,2020-04-30 19:12:27.296019,1,laba05,user_29
757,ready,0,2020-04-30 19:18:32.432096,2,laba05,user_29
759,ready,0,2020-04-30 19:21:12.427084,3,laba05,user_29
761,ready,0,2020-04-30 19:22:23.667663,4,laba05,user_29
763,ready,0,2020-04-30 19:22:31.307210,5,laba05,user_29
765,ready,0,2020-04-30 19:22:46.861541,6,laba05,user_29
767,ready,1,2020-04-30 19:23:23.339670,17,laba04s,user_20
769,ready,0,2020-04-30 19:24:31.448801,7,laba05,user_29
771,ready,0,2020-04-30 19:25:50.494196,8,laba05,user_29
773,ready,0,2020-04-30 19:29:12.872467,9,laba05,user_29
775,ready,1,2020-04-30 19:30:24.487551,10,laba05,user_29
777,ready,0,2020-04-30 19:32:33.202358,11,laba05,user_29
779,ready,1,2020-04-30 19:33:29.815964,12,laba05,user_29
781,ready,0,2020-05-01 06:55:02.780101,1,lab05s,user_29
783,ready,1,2020-05-01 11:07:51.872817,6,laba05,user_26
785,ready,0,2020-05-01 11:29:17.988118,1,laba05,user_3
787,ready,0,2020-05-01 11:34:49.944703,2,laba05,user_3
789,ready,1,2020-05-01 11:37:30.301830,3,laba05,user_3
791,ready,1,2020-05-01 13:02:27.357650,1,laba05,user_25
793,ready,0,2020-05-01 13:14:49.160160,1,laba05,user_31
795,ready,0,2020-05-01 18:12:59.499804,2,laba05,user_31
797,ready,0,2020-05-01 18:29:11.968537,1,laba05,user_28
799,ready,0,2020-05-01 18:34:27.560236,3,laba05,user_31
801,ready,0,2020-05-01 18:34:36.300008,4,laba05,user_31
803,ready,0,2020-05-01 18:36:04.688510,5,laba05,user_31
805,ready,0,2020-05-01 18:37:49.346219,6,laba05,user_31
807,ready,0,2020-05-01 18:39:25.724347,7,laba05,user_31
809,ready,0,2020-05-01 18:39:56.494818,8,laba05,user_31
811,ready,0,2020-05-01 18:40:30.622029,9,laba05,user_31
813,ready,0,2020-05-01 18:43:57.609080,10,laba05,user_31
815,ready,0,2020-05-01 18:44:47.966800,11,laba05,user_31
817,ready,0,2020-05-01 18:45:27.659890,12,laba05,user_31
819,ready,0,2020-05-01 19:01:08.507683,13,laba05,user_31
821,ready,0,2020-05-01 19:02:37.243607,14,laba05,user_31
823,ready,0,2020-05-01 19:06:58.087627,2,laba05,user_28
825,ready,0,2020-05-01 19:09:52.640127,15,laba05,user_31
827,ready,0,2020-05-01 19:16:38.680150,16,laba05,user_31
829,ready,1,2020-05-01 19:16:40.626089,3,laba05,user_28
831,ready,1,2020-05-01 19:27:26.063245,1,laba05,user_10
833,ready,0,2020-05-01 19:31:18.375833,1,laba05,user_30
835,ready,0,2020-05-01 19:40:22.465825,2,laba05,user_30
837,ready,0,2020-05-01 21:12:53.760791,17,laba05,user_31
839,ready,0,2020-05-01 21:17:11.658924,18,laba05,user_31
841,ready,0,2020-05-01 22:48:55.288158,1,laba05,user_20
843,ready,0,2020-05-01 22:50:31.303428,2,laba05,user_20
845,ready,1,2020-05-01 22:58:11.937216,3,laba05,user_20
